wT,wAT,wH,wP,wR,wTT,wWD,wWS
12010.776,27.7,18.2,1015.5,False,44.7,183,2.3
12070.776,27.7,18.3,1015.6,False,44.8,194,2.2
12130.796,27.8,17.9,1015.5,False,44.9,201,3.3
12190.798,27.8,18.1,1015.5,False,44.8,205,4.1
12250.786,27.8,17.9,1015.5,False,45.0,196,2.9
12310.776,27.7,18.0,1015.5,False,44.9,168,2.1
12370.797,27.8,18.2,1015.5,False,44.8,193,1.5
12430.808,27.8,17.9,1015.4,False,45.2,210,1.7
12490.81,28.0,18.4,1015.5,False,45.2,193,4.0
12550.809,28.1,18.1,1015.6,False,45.1,174,2.3
12610.794,28.0,17.9,1015.4,False,45.0,190,3.1
12670.817,27.9,18.2,1015.5,False,45.0,212,3.0
12731.15,27.8,18.6,1015.5,False,45.1,245,0.7
12790.821,28.0,18.3,1015.4,False,45.2,198,1.6
12850.81,28.0,18.7,1015.4,False,44.8,212,3.1
12910.838,28.0,18.0,1015.3,False,45.4,196,2.0
12970.817,28.1,17.9,1015.4,False,45.2,199,3.4
13030.832,28.1,17.7,1015.3,False,45.1,188,1.8
13090.824,28.1,17.9,1015.4,False,45.0,187,1.5
13150.833,28.3,18.1,1015.3,False,45.2,198,3.8
13210.843,28.4,17.6,1015.2,False,44.9,192,3.5
13270.847,28.3,18.0,1015.4,False,44.7,179,1.2
13330.849,28.4,17.8,1015.3,False,44.8,182,0.8
13390.859,28.5,17.7,1015.2,False,45.3,198,3.2
13450.867,28.5,17.5,1015.3,False,45.3,181,1.6
13510.889,28.5,17.3,1015.2,False,45.2,211,2.0
13570.883,28.5,17.6,1015.3,False,44.9,200,3.2
13630.891,28.5,17.3,1015.3,False,45.4,160,0.9
13690.907,28.4,17.3,1015.3,False,45.7,176,2.2
13750.895,28.5,17.2,1015.3,False,44.6,193,1.6
13810.896,28.5,17.5,1015.2,False,45.4,202,3.6
13870.917,28.5,17.5,1015.3,False,44.8,199,2.3
13930.921,28.6,17.7,1015.3,False,45.4,193,2.4
13990.92,28.6,18.3,1015.2,False,45.3,183,2.5
14050.907,28.6,18.3,1015.2,False,45.3,188,3.4
14110.923,28.5,17.9,1015.3,False,45.2,176,2.7
14171.023,28.4,18.1,1015.3,False,45.3,194,1.6
14230.922,28.4,18.6,1015.2,False,45.2,212,2.6
14290.91,28.4,18.5,1015.2,False,45.0,190,2.8
14350.927,28.4,18.5,1015.2,False,45.0,190,2.8
14410.934,28.5,18.3,1015.2,False,45.1,231,0.7
14470.941,28.5,17.7,1015.2,False,45.4,197,2.6
14530.953,28.6,17.3,1015.1,False,45.4,202,3.2
14590.931,28.7,17.3,1015.1,False,45.1,191,1.9
14650.944,28.7,18.1,1015.1,False,45.2,190,2.6
14710.974,28.7,17.6,1015.1,False,45.5,200,2.6
14771.101,28.7,18.0,1015.1,False,45.6,207,2.4
14831.001,28.7,17.3,1015.1,False,45.2,199,1.5
14890.991,28.8,17.3,1015.0,False,45.5,195,2.4
14951.013,28.7,16.7,1015.0,False,45.6,193,2.7
15011.026,28.7,17.6,1015.1,False,45.2,194,2.8
15071.045,28.8,16.8,1015.1,False,45.3,212,0.9
15131.047,28.8,16.8,1015.1,False,45.3,212,0.9
15191.053,28.9,16.4,1015.0,False,45.5,196,2.3
15251.056,28.9,16.4,1015.0,False,45.3,194,3.1
15311.077,28.9,16.5,1015.0,False,45.0,198,3.0
15371.072,28.8,16.8,1015.0,False,45.2,205,2.0
15431.118,28.9,17.0,1015.0,False,44.8,177,2.3
