wT,wAT,wH,wP,wR,wTT,wWD,wWS
9471.404,25.2,54.5,1015.6,False,39.7,112,0.9
9531.436,25.3,54.2,1015.6,False,40.1,90,0.7
9591.426,25.3,54.0,1015.6,False,40.1,169,0.4
9651.42,25.2,53.3,1015.5,False,40.0,169,1.1
9711.416,25.3,53.2,1015.5,False,39.8,203,1.3
9771.416,25.4,53.0,1015.4,False,40.7,155,1.0
9831.414,25.3,53.7,1015.4,False,40.6,120,1.2
9891.416,25.4,53.6,1015.5,False,40.1,346,1.0
9951.417,25.3,54.0,1015.4,False,39.9,120,0.4
10011.415,25.4,55.0,1015.3,False,40.4,57,0.4
10071.438,25.4,54.7,1015.3,False,40.4,50,1.3
10131.441,25.4,54.7,1015.3,False,40.4,50,1.3
10191.454,25.3,56.0,1015.4,False,39.6,349,1.3
10251.442,25.3,56.4,1015.4,False,39.4,334,0.9
10311.438,25.2,55.7,1015.3,False,40.1,35,1.3
10371.445,25.3,56.0,1015.4,False,40.3,15,0.8
10431.459,25.3,55.5,1015.3,False,40.7,110,0.7
10491.461,25.5,55.3,1015.3,False,39.8,231,0.7
10551.459,25.6,53.3,1015.4,False,39.8,6,0.9
10611.461,25.6,52.2,1015.3,False,39.9,338,0.7
10671.459,25.5,53.8,1015.3,False,39.1,306,1.1
10731.47,25.5,53.8,1015.3,False,39.1,306,1.1
10791.477,25.4,55.2,1015.3,False,40.1,252,0.5
10851.499,25.4,55.2,1015.3,False,40.1,252,0.5
10911.48,25.5,55.1,1015.3,False,40.7,0,0.0
10971.508,25.6,53.4,1015.1,False,40.9,0,0.0
11031.518,25.6,53.9,1015.3,False,41.3,21,1.3
11091.524,25.4,54.1,1015.2,False,40.7,2,0.9
11151.525,25.6,50.9,1015.2,False,40.0,278,0.6
11211.551,25.6,50.9,1015.2,False,40.0,278,0.6
11271.566,25.7,47.8,1015.1,False,41.5,9,0.9
11331.573,25.7,47.8,1015.1,False,41.5,9,0.9
11391.58,25.9,50.1,1015.1,False,40.8,340,1.0
11451.577,25.9,50.1,1015.1,False,40.8,340,1.0
11511.582,26.2,50.1,1015.0,False,41.6,160,0.6
11571.579,26.2,50.1,1015.0,False,41.6,160,0.6
11631.588,26.4,49.6,1015.0,False,40.8,325,0.8
11691.577,26.3,49.1,1015.0,False,41.2,19,1.0
14043.499,26.3,45.4,1014.5,False,41.3,198,1.3
14091.619,28.1,44.9,1014.5,False,41.4,179,0.5
14151.604,28.2,40.6,1014.6,False,41.7,197,1.1
14211.613,28.3,37.9,1014.6,False,39.9,248,1.4
14271.659,28.3,17.7,1014.6,False,41.0,302,0.9
14331.642,28.3,17.7,1014.6,False,41.0,302,0.9
14391.667,28.4,14.6,1014.7,False,41.3,333,1.4
14451.68,28.4,14.6,1014.7,False,41.3,333,1.4
14511.657,28.6,14.0,1014.5,False,41.2,221,1.8
14571.656,28.6,14.0,1014.5,False,41.2,221,1.8
14631.669,28.6,13.7,1014.6,False,41.2,314,1.3
